"AppId","AppDisplayName","AppOwnerOrganizationId","Source"
"d9327919-6775-4843-9037-3fb0fb0473cb","Databricks Resource Provider","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"9e5d84af-8971-422f-968a-354cd675ae5b","ComplianceAuthServer","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"3c31d730-a768-4286-a972-43e9b83601cd","Demeter.WorkerRole","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"9cb77803-d937-493e-9a3b-4b49de3f5a74","Microsoft Intune Service Discovery","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"11cd3e2e-fccb-42ad-ad00-878b93575e07","Automated Call Distribution","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"50d8616b-fd4f-4fac-a1c9-a6a9440d7fe0","OMSAuthorizationServicePROD","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"499b84ac-1321-427f-aa17-267ca6975798","Azure DevOps","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"79d7fb34-4bef-4417-8184-ff713af7a679","Azure Bastion","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"19dd5b37-d116-48cb-90d2-4aa56696cba1","Microsoft Forms Pro","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"0cd196ee-71bf-4fd6-a57c-b491ffd4fb1e","Media Analysis and Transformation Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"d32c68ad-72d2-4acb-a0c7-46bb2cf93873","Microsoft Activity Feed Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"5da7367f-09c8-493e-8fd4-638089cddec3","CABProvisioning","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"1e70cd27-4707-4589-8ec5-9bd20c472a46","Skype Presence Service","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"5b712e99-51a3-41ce-86ff-046e0081c5c0","Marketplace SaaS v2","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"96ff4394-9197-43aa-b393-6a41652e21f8","Power Virtual Agents ","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
"1fec8e78-bce4-4aaf-ab1b-5451cc387264","Microsoft Teams","f8cdef31-a31e-4b4a-93e4-5f571e91255a","Graph"
